0x0022 \textquotedbl
0x20d7 \ensuremath{\vec{}}
0x20db \ensuremath{\dddot{}}
0x20dc \ensuremath{\ddddot{}}
0x2102 \ensuremath{\mathbb{C}}
0x2103 \textcelsius
0x2109 \textdegree{}F
0x210a \ensuremath{\mathscr{g}}
0x210b \ensuremath{\mathscr{H}}
0x210c \ensuremath{\mathfrak{H}}
0x210d \ensuremath{\mathbb{H}}
0x210e \ensuremath{h}
0x210f \ensuremath{\hslash}
0x2110 \ensuremath{\mathscr{I}}
0x2111 \ensuremath{\Im}
0x2112 \ensuremath{\mathscr{L}}
0x2113 \ensuremath{\ell}
0x2114 \Pfund
0x2115 \ensuremath{\mathbb{N}}
0x2116 \textnumero
0x2117 \textcircledP
0x2118 \ensuremath{\wp}
0x2119 \ensuremath{\mathbb{P}}
0x211a \ensuremath{\mathbb{Q}}
0x211b \ensuremath{\mathscr{R}}
0x211c \ensuremath{\Re}
0x211d \ensuremath{\mathbb{R}}
0x211e \textrecipe
0x2120 \textservicemark
0x2122 \texttrademark
0x2124 \ensuremath{\mathbb{Z}}
0x2126 \textohm
0x2127 \textmho
0x2128 \ensuremath{\mathfrak{Z}}
0x212a K
0x212b \AA
0x212c \ensuremath{\mathscr{B}}
0x212d \ensuremath{\mathfrak{C}}
0x212e \textestimated
0x212f \ensuremath{\mathscr{e}}
0x2130 \ensuremath{\mathscr{E}}
0x2131 \ensuremath{\mathscr{F}}
0x2132 \ensuremath{\Finv}
0x2133 \ensuremath{\mathscr{M}}
0x2134 \ensuremath{\mathscr{o}}
0x2135 \ensuremath{\aleph}
0x2136 \ensuremath{\beth}
0x2137 \ensuremath{\gimel}
0x2138 \ensuremath{\daleth}
0x213b \fax
0x213c \ensuremath{\mathbb{\pi}}
0x213d \ensuremath{\mathbb{\gamma}}
0x213e \ensuremath{\mathbb{\Gamma}}
0x213f \ensuremath{\mathbb{\Pi}}
0x2140 \ensuremath{\mathbb{\sum}}
0x2141 \ensuremath{\Game}
0x2144 \ensuremath{\Yup}
0x2145 \ensuremath{\mathbb{D}}
0x2146 \ensuremath{\mathbb{d}}
0x2147 \ensuremath{\mathbb{e}}
0x2148 \ensuremath{\mathbb{i}}
0x2149 \ensuremath{\mathbb{j}}
0x214b \ensuremath{\bindnasrepma}
0x2150 \sfrac{1}{7}
0x2151 \sfrac{1}{9}
0x2152 \sfrac{1}{10}
0x2153 \sfrac{1}{3}
0x2154 \sfrac{2}{3}
0x2155 \sfrac{1}{5}
0x2156 \sfrac{2}{5}
0x2157 \sfrac{3}{5}
0x2158 \sfrac{4}{5}
0x2159 \sfrac{1}{6}
0x215a \sfrac{5}{6}
0x215b \sfrac{1}{8}
0x215c \sfrac{3}{8}
0x215d \sfrac{5}{8}
0x215e \sfrac{7}{8}
0x215f \sfrac{1}{}
0x2160 I
0x2161 II
0x2162 III
0x2163 IV
0x2164 V
0x2165 VI
0x2166 VII
0x2167 VIII
0x2168 IX
0x2169 X
0x216a XI
0x216b XII
0x216c L
0x216d C
0x216e D
0x216f M
0x2170 i
0x2171 ii
0x2172 iii
0x2173 iv
0x2174 v
0x2175 vi
0x2176 vii
0x2177 viii
0x2178 ix
0x2179 x
0x217a xi
0x217b xii
0x217c l
0x217d c
0x217e d
0x217f m
0x2189 \sfrac{0}{3}
0x2190 \ensuremath{\leftarrow}
0x2191 \ensuremath{\uparrow}
0x2192 \ensuremath{\rightarrow}
0x2193 \ensuremath{\downarrow}
0x2194 \ensuremath{\leftrightarrow}
0x2195 \ensuremath{\updownarrow}
0x2196 \ensuremath{\nwarrow}
0x2197 \ensuremath{\nearrow}
0x2198 \ensuremath{\searrow}
0x2199 \ensuremath{\swarrow}
0x219a \ensuremath{\nleftarrow}
0x219b \ensuremath{\nrightarrow}
0x219e \ensuremath{\twoheadleftarrow}
0x21a0 \ensuremath{\twoheadrightarrow}
0x21a2 \ensuremath{\leftarrowtail}
0x21a3 \ensuremath{\rightarrowtail}
0x21a4 \ensuremath{\mapsfrom}
0x21a6 \ensuremath{\mapsto}
0x21a9 \ensuremath{\hookleftarrow}
0x21aa \ensuremath{\hookrightarrow}
0x21ab \ensuremath{\looparrowleft}
0x21ac \ensuremath{\looparrowright}
0x21ad \ensuremath{\leftrightsquigarrow}
0x21ae \ensuremath{\nleftrightarrow}
0x21af \ensuremath{\lightning}
0x21b0 \ensuremath{\Lsh}
0x21b1 \ensuremath{\Rsh}
0x21b6 \ensuremath{\curvearrowleft}
0x21b7 \ensuremath{\curvearrowright}
0x21ba \ensuremath{\circlearrowleft}
0x21bb \ensuremath{\circlearrowright}
0x21bc \ensuremath{\leftharpoonup}
0x21bd \ensuremath{\leftharpoondown}
0x21be \ensuremath{\upharpoonright}
0x21bf \ensuremath{\upharpoonleft}
0x21c0 \ensuremath{\rightharpoonup}
0x21c1 \ensuremath{\rightharpoondown}
0x21c2 \ensuremath{\downharpoonright}
0x21c3 \ensuremath{\downharpoonleft}
0x21c4 \ensuremath{\rightleftarrows}
0x21c6 \ensuremath{\leftrightarrows}
0x21c7 \ensuremath{\leftleftarrows}
0x21c8 \ensuremath{\upuparrows}
0x21c9 \ensuremath{\rightrightarrows}
0x21ca \ensuremath{\downdownarrows}
0x21cb \ensuremath{\leftrightharpoons}
0x21cc \ensuremath{\rightleftharpoons}
0x21cd \ensuremath{\nLeftarrow}
0x21ce \ensuremath{\nLeftrightarrow}
0x21cf \ensuremath{\nRightarrow}
0x21d0 \ensuremath{\Leftarrow}
0x21d1 \ensuremath{\Uparrow}
0x21d2 \ensuremath{\Rightarrow}
0x21d3 \ensuremath{\Downarrow}
0x21d4 \ensuremath{\Leftrightarrow}
0x21d5 \ensuremath{\Updownarrow}
0x21d6 \ensuremath{\Nwarrow}
0x21d7 \ensuremath{\Nearrow}
0x21d8 \ensuremath{\Searrow}
0x21d9 \ensuremath{\Swarrow}
0x21da \ensuremath{\Lleftarrow}
0x21db \ensuremath{\Rrightarrow}
0x21dc \ensuremath{\leftsquigarrow}
0x21dd \ensuremath{\rightsquigarrow}
0x21e0 \ensuremath{\dashleftarrow}
0x21e2 \ensuremath{\dashrightarrow}
0x21fd \ensuremath{\leftarrowtriangle}
0x21fe \ensuremath{\rightarrowtriangle}
0x21ff \ensuremath{\leftrightarrowtriangle}
0x2200 \ensuremath{\forall}
0x2201 \ensuremath{\complement}
0x2202 \ensuremath{\partial}
0x2203 \ensuremath{\exists}
0x2204 \ensuremath{\nexists}
0x2205 \ensuremath{\varnothing}
0x2206 \ensuremath{\Delta}
0x2207 \ensuremath{\nabla}
0x2208 \ensuremath{\in}
0x2209 \ensuremath{\notin}
0x220b \ensuremath{\ni}
0x220c \ensuremath{\notni}
0x220e \ensuremath{\Box}
0x220f \ensuremath{\prod}
0x2210 \ensuremath{\coprod}
0x2211 \ensuremath{\sum}
0x2212 \ensuremath{-}
0x2213 \ensuremath{\mp}
0x2214 \ensuremath{\dotplus}
0x2215 \ensuremath{/}
0x2216 \ensuremath{\setminus}
0x2217 \ensuremath{\ast}
0x2218 \ensuremath{\circ}
0x2219 \ensuremath{\bullet}
0x221a \ensuremath{\surd}
0x221b \ensuremath{\sqrt[3]{}}
0x221c \ensuremath{\sqrt[4]{}}
0x221d \ensuremath{\propto}
0x221e \ensuremath{\infty}
0x2220 \ensuremath{\angle}
0x2221 \ensuremath{\measuredangle}
0x2222 \ensuremath{\sphericalangle}
0x2223 \ensuremath{\mid}
0x2224 \ensuremath{\nmid}
0x2225 \ensuremath{\parallel}
0x2226 \ensuremath{\nparallel}
0x2227 \ensuremath{\wedge}
0x2228 \ensuremath{\vee}
0x2229 \ensuremath{\cap}
0x222a \ensuremath{\cup}
0x222b \ensuremath{\int}
0x222c \ensuremath{\iint}
0x222d \ensuremath{\iiint}
0x222e \ensuremath{\oint}
0x222f \ensuremath{\oiint}
0x2230 \ensuremath{\oiiint}
0x2232 \ensuremath{\ointclockwise}
0x2233 \ensuremath{\ointctrclockwise}
0x2234 \ensuremath{\therefore}
0x2235 \ensuremath{\because}
0x2236 \ensuremath{\mathrel{:}}
0x2237 \ensuremath{\mathrel{::}}
0x2238 \ensuremath{\dot{-}}
0x2239 \ensuremath{\eqcolon}
0x223c \ensuremath{\sim}
0x223d \ensuremath{\backsim}
0x2240 \ensuremath{\wr}
0x2241 \ensuremath{\nsim}
0x2242 \ensuremath{\eqsim}
0x2243 \ensuremath{\simeq}
0x2244 \ensuremath{\nsimeq}
0x2245 \ensuremath{\cong}
0x2247 \ensuremath{\ncong}
0x2248 \ensuremath{\approx}
0x2249 \ensuremath{\napprox}
0x224a \ensuremath{\approxeq}
0x224d \ensuremath{\asymp}
0x224e \ensuremath{\Bumpeq}
0x224f \ensuremath{\bumpeq}
0x2250 \ensuremath{\doteq}
0x2251 \ensuremath{\doteqdot}
0x2252 \ensuremath{\fallingdotseq}
0x2253 \ensuremath{\risingdotseq}
0x2254 \ensuremath{\coloneq}
0x2255 \ensuremath{\eqcolon}
0x2256 \ensuremath{\eqcirc}
0x2257 \ensuremath{\circeq}
0x225c \ensuremath{\triangleq}
0x2260 \ensuremath{\ne}
0x2261 \ensuremath{\equiv}
0x2262 \ensuremath{\nequiv}
0x2264 \ensuremath{\leq}
0x2265 \ensuremath{\geq}
0x2266 \ensuremath{\leqq}
0x2267 \ensuremath{\geqq}
0x2268 \ensuremath{\lneqq}
0x2269 \ensuremath{\gneqq}
0x226a \ensuremath{\ll}
0x226b \ensuremath{\gg}
0x226c \ensuremath{\between}
0x226d \ensuremath{\not\asymp}
0x226e \ensuremath{\nless}
0x226f \ensuremath{\ngtr}
0x2270 \ensuremath{\nleq}
0x2271 \ensuremath{\ngeq}
0x2272 \ensuremath{\lesssim}
0x2273 \ensuremath{\gtrsim}
0x2274 \ensuremath{\nlesssim}
0x2275 \ensuremath{\ngtrsim}
0x2276 \ensuremath{\lessgtr}
0x2277 \ensuremath{\gtrless}
0x2278 \ensuremath{\nlessgtr}
0x2279 \ensuremath{\ngtrless}
0x227a \ensuremath{\prec}
0x227b \ensuremath{\succ}
0x227c \ensuremath{\preccurlyeq}
0x227d \ensuremath{\succcurlyeq}
0x227e \ensuremath{\precsim}
0x227f \ensuremath{\succsim}
0x2280 \ensuremath{\nprec}
0x2281 \ensuremath{\nsucc}
0x2282 \ensuremath{\subset}
0x2283 \ensuremath{\supset}
0x2284 \ensuremath{\nsubset}
0x2285 \ensuremath{\nsupset}
0x2286 \ensuremath{\subseteq}
0x2287 \ensuremath{\supseteq}
0x2288 \ensuremath{\nsubseteq}
0x2289 \ensuremath{\nsupseteq}
0x228a \ensuremath{\subsetneq}
0x228b \ensuremath{\supsetneq}
0x228e \ensuremath{\uplus}
0x228f \ensuremath{\sqsubset}
0x2290 \ensuremath{\sqsupset}
0x2291 \ensuremath{\sqsubseteq}
0x2292 \ensuremath{\sqsupseteq}
0x2293 \ensuremath{\sqcap}
0x2294 \ensuremath{\sqcup}
0x2295 \ensuremath{\oplus}
0x2296 \ensuremath{\ominus}
0x2297 \ensuremath{\otimes}
0x2298 \ensuremath{\oslash}
0x2299 \ensuremath{\odot}
0x229a \ensuremath{\circledcirc}
0x229b \ensuremath{\circledast}
0x229d \ensuremath{\circleddash}
0x229e \ensuremath{\boxplus}
0x229f \ensuremath{\boxminus}
0x22a0 \ensuremath{\boxtimes}
0x22a1 \ensuremath{\boxdot}
0x22a2 \ensuremath{\vdash}
0x22a3 \ensuremath{\dashv}
0x22a4 \ensuremath{\top}
0x22a5 \ensuremath{\bot}
0x22a8 \ensuremath{\vDash}
0x22a9 \ensuremath{\Vdash}
0x22aa \ensuremath{\Vvdash}
0x22ab \ensuremath{\VDash}
0x22ac \ensuremath{\nvdash}
0x22ad \ensuremath{\nvDash}
0x22ae \ensuremath{\nVdash}
0x22af \ensuremath{\nVDash}
0x22b2 \ensuremath{\vartriangleleft}
0x22b3 \ensuremath{\vartriangleright}
0x22b4 \ensuremath{\trianglelefteq}
0x22b5 \ensuremath{\trianglerighteq}
0x22b6 \ensuremath{\multimapdotbothA}
0x22b7 \ensuremath{\multimapdotbothB}
0x22b8 \ensuremath{\multimap}
0x22ba \ensuremath{\intercal}
0x22bb \ensuremath{\veebar}
0x22bc \ensuremath{\barwedge}
0x22bd \ensuremath{\overline{\vee}}
0x22c0 \ensuremath{\bigwedge}
0x22c1 \ensuremath{\bigvee}
0x22c2 \ensuremath{\bigcap}
0x22c3 \ensuremath{\bigcup}
0x22c4 \ensuremath{\diamond}
0x22c5 \ensuremath{\cdot}
0x22c6 \ensuremath{\star}
0x22c7 \ensuremath{\divideontimes}
0x22c8 \ensuremath{\bowtie}
0x22c9 \ensuremath{\ltimes}
0x22ca \ensuremath{\rtimes}
0x22cb \ensuremath{\leftthreetimes}
0x22cc \ensuremath{\rightthreetimes}
0x22cd \ensuremath{\backsimeq}
0x22ce \ensuremath{\curlyvee}
0x22cf \ensuremath{\curlywedge}
0x22d0 \ensuremath{\Subset}
0x22d1 \ensuremath{\Supset}
0x22d2 \ensuremath{\Cap}
0x22d3 \ensuremath{\Cup}
0x22d4 \ensuremath{\pitchfork}
0x22d6 \ensuremath{\lessdot}
0x22d7 \ensuremath{\gtrdot}
0x22d8 \ensuremath{\lll}
0x22d9 \ensuremath{\ggg}
0x22da \ensuremath{\lesseqgtr}
0x22db \ensuremath{\gtreqless}
0x22de \ensuremath{\curlyeqprec}
0x22df \ensuremath{\curlyeqsucc}
0x22e0 \ensuremath{\not\curlyeqprec}
0x22e1 \ensuremath{\not\curlyeqsucc}
0x22e2 \ensuremath{\not\sqsubseteq}
0x22e3 \ensuremath{\not\sqsupseteq}
0x22e6 \ensuremath{\lnsim}
0x22e7 \ensuremath{\gnsim}
0x22e8 \ensuremath{\precnsim}
0x22e9 \ensuremath{\succnsim}
0x22ea \ensuremath{\ntriangleleft}
0x22eb \ensuremath{\ntriangleright}
0x22ec \ensuremath{\ntrianglelefteq}
0x22ed \ensuremath{\ntrianglerighteq}
0x22ee \ensuremath{\vdots}
0x22ef \ensuremath{\cdots}
0x22f0 \ensuremath{\iddots}
0x22f1 \ensuremath{\ddots}
0x22f5 \ensuremath{\dot{\in}}
0x22f6 \ensuremath{\overline{\in}}
0x22f8 \ensuremath{\underline{\in}}
0x22fd \ensuremath{\overline{\ni}}
0x2300 \ensuremath{\diameter}
0x2305 \ensuremath{\barwedge}
0x2306 \ensuremath{\doublebarwedge}
0x2308 \ensuremath{\lceil}
0x2309 \ensuremath{\rceil}
0x230a \ensuremath{\lfloor}
0x230b \ensuremath{\rfloor}
0x2310 \ensuremath{\invneg}
0x2311 \ensuremath{\wasylozenge}
0x2315 \ensuremath{\recorder}
0x231c \ensuremath{\ulcorner}
0x231d \ensuremath{\urcorner}
0x231e \ensuremath{\llcorner}
0x231f \ensuremath{\lrcorner}
0x2322 \ensuremath{\frown}
0x2323 \ensuremath{\smile}
0x2329 \ensuremath{\langle}
0x232a \ensuremath{\rangle}
0x23b0 \ensuremath{\left\lmoustache\right.}
0x23b1 \ensuremath{\left\rmoustache\right.}
0x23d1 \metra{\b}
0x23d2 \metra{\mb}
0x23d3 \metra{\bm}
0x23d4 \metra{\mbb}
0x23d5 \metra{\bbm}
0x23d6 \metra{\bb}
0x23d7 \metra{\tsbm}
0x23d8 \metra{\tsmm}
0x23d9 \metra{\ps}
0x2422 \textblank
0x2423 \textvisiblespace
0x2460 \ding{172}
0x2461 \ding{173}
0x2462 \ding{174}
0x2463 \ding{175}
0x2464 \ding{176}
0x2465 \ding{177}
0x2466 \ding{178}
0x2467 \ding{179}
0x2468 \ding{180}
0x2469 \ding{181}
0x24b6 \textcircled{A}
0x24b7 \textcircled{B}
0x24b8 \textcircled{C}
0x24b9 \textcircled{D}
0x24ba \textcircled{E}
0x24bb \textcircled{F}
0x24bc \textcircled{G}
0x24bd \textcircled{H}
0x24be \textcircled{I}
0x24bf \textcircled{J}
0x24c0 \textcircled{K}
0x24c1 \textcircled{L}
0x24c2 \textcircled{M}
0x24c3 \textcircled{N}
0x24c4 \textcircled{O}
0x24c5 \textcircledP
0x24c6 \textcircled{Q}
0x24c7 \circledR
0x24c8 \textcircled{S}
0x24c9 \textcircled{T}
0x24ca \textcircled{U}
0x24cb \textcircled{V}
0x24cc \textcircled{W}
0x24cd \textcircled{X}
0x24ce \textcircled{Y}
0x24cf \textcircled{Z}
0x24d0 \textcircled{a}
0x24d1 \textcircled{b}
0x24d2 \textcircled{c}
0x24d3 \textcircled{d}
0x24d4 \textcircled{e}
0x24d5 \textcircled{f}
0x24d6 \textcircled{g}
0x24d7 \textcircled{h}
0x24d8 \textcircled{i}
0x24d9 \textcircled{j}
0x24da \textcircled{k}
0x24db \textcircled{l}
0x24dc \textcircled{m}
0x24dd \textcircled{n}
0x24de \textcircled{o}
0x24df \textcircled{p}
0x24e0 \textcircled{q}
0x24e1 \textcircled{r}
0x24e2 \textcircled{s}
0x24e3 \textcircled{t}
0x24e4 \textcircled{u}
0x24e5 \textcircled{v}
0x24e6 \textcircled{w}
0x24e7 \textcircled{x}
0x24e8 \textcircled{y}
0x24e9 \textcircled{z}
0x24ea \textcircled{0}
0x25a0 \ensuremath{\blacksquare}
0x25a1 \ensuremath{\square}
0x25b2 \ensuremath{\blacktriangle}
0x25b3 \ensuremath{\vartriangle}
0x25b6 \ensuremath{\blacktriangleright}
0x25b7 \ensuremath{\vartriangleright}
0x25bc \ensuremath{\blacktriangledown}
0x25bd \ensuremath{\triangledown}
0x25c0 \ensuremath{\blacktriangleleft}
0x25c1 \ensuremath{\vartriangleleft}
0x25c6 \ding{117}
0x25ca \ensuremath{\lozenge}
0x25cf \CIRCLE
0x25d0 \LEFTcircle
0x25d1 \RIGHTcircle
0x25d6 \LEFTCIRCLE
0x25d7 \RIGHTCIRCLE
0x25e6 \textopenbullet
0x25ef \textbigcircle
0x2605 \ensuremath{\bigstar}
0x2609 \astrosun
0x260e \ding{37}
0x261b \ding{42}
0x261e \ding{43}
0x2639 \frownie
0x263a \smiley
0x263b \blacksmiley
0x263c \sun
0x263d \rightmoon
0x263e \leftmoon
0x263f \mercury
0x2640 \venus
0x2641 \earth
0x2642 \mars
0x2643 \jupiter
0x2644 \saturn
0x2646 \neptune
0x2647 \pluto
0x2648 \aries
0x2649 \taurus
0x264a \gemini
0x264b \cancer
0x264c \leo
0x264d \virgo
0x264e \libra
0x264f \scorpio
0x2650 \sagittarius
0x2651 \capricornus
0x2652 \aquarius
0x2653 \pisces
0x2654 \symking
0x2655 \symqueen
0x2656 \symrook
0x2657 \symbishop
0x2658 \symknight
0x2659 \sympawn
0x2660 \ensuremath{\spadesuit}
0x2661 \ensuremath{\heartsuit}
0x2662 \ensuremath{\diamondsuit}
0x2663 \ensuremath{\clubsuit}
0x2664 \ensuremath{\varspadesuit}
0x2665 \ensuremath{\varheartsuit}
0x2666 \ensuremath{\vardiamondsuit}
0x2667 \ensuremath{\varclubsuit}
0x2669 \quarternote
0x266a \eighthnote
0x266b \twonotes
0x266d \ensuremath{\flat}
0x266e \ensuremath{\natural}
0x266f \ensuremath{\sharp}
0x26e2 \uranus
0x2701 \ding{33}
0x2702 \ding{34}
0x2703 \ding{35}
0x2704 \ding{36}
0x2706 \ding{38}
0x2707 \ding{39}
0x2708 \ding{40}
0x2709 \ding{41}
0x270c \ding{44}
0x270d \ding{45}
0x270e \ding{46}
0x270f \ding{47}
0x2710 \ding{48}
0x2711 \ding{49}
0x2712 \ding{50}
0x2713 \ding{51}
0x2714 \ding{52}
0x2715 \ding{53}
0x2716 \ding{54}
0x2717 \ding{55}
0x2718 \ding{56}
0x2719 \ding{57}
0x271a \ding{58}
0x271b \ding{59}
0x271c \ding{60}
0x271d \ding{61}
0x271e \ding{62}
0x271f \ding{63}
0x2720 \ding{64}
0x2721 \ding{65}
0x2722 \ding{66}
0x2723 \ding{67}
0x2724 \ding{68}
0x2725 \ding{69}
0x2726 \ding{70}
0x2727 \ding{71}
0x2729 \ding{73}
0x272a \ding{74}
0x272b \ding{75}
0x272c \ding{76}
0x272d \ding{77}
0x272e \ding{78}
0x272f \ding{79}
0x2730 \ding{80}
0x2731 \ding{81}
0x2732 \ding{82}
0x2733 \ding{83}
0x2734 \ding{84}
0x2735 \ding{85}
0x2736 \ding{86}
0x2737 \ding{87}
0x2738 \ding{88}
0x2739 \ding{89}
0x273a \ding{90}
0x273b \ding{91}
0x273c \ding{92}
0x273d \ding{93}
0x273e \ding{94}
0x273f \ding{95}
0x2740 \ding{96}
0x2741 \ding{97}
0x2742 \ding{98}
0x2743 \ding{99}
0x2744 \ding{100}
0x2745 \ding{101}
0x2746 \ding{102}
0x2747 \ding{103}
0x2748 \ding{104}
0x2749 \ding{105}
0x274a \ding{106}
0x274b \ding{107}
0x274d \ding{109}
0x274f \ding{111}
0x2750 \ding{112}
0x2751 \ding{113}
0x2752 \ding{114}
0x2756 \ding{118}
0x2758 \ding{120}
0x2759 \ding{121}
0x275a \ding{122}
0x275b \ding{123}
0x275c \ding{124}
0x275d \ding{125}
0x275e \ding{126}
0x2761 \ding{161}
0x2762 \ding{162}
0x2763 \ding{163}
0x2764 \ding{164}
0x2765 \ding{165}
0x2766 \ding{166}
0x2767 \ding{167}
0x2776 \ding{182}
0x2777 \ding{183}
0x2778 \ding{184}
0x2779 \ding{185}
0x277a \ding{186}
0x277b \ding{187}
0x277c \ding{188}
0x277d \ding{189}
0x277e \ding{190}
0x277f \ding{191}
0x2780 \ding{192}
0x2781 \ding{193}
0x2782 \ding{194}
0x2783 \ding{195}
0x2784 \ding{196}
0x2785 \ding{197}
0x2786 \ding{198}
0x2787 \ding{199}
0x2788 \ding{200}
0x2789 \ding{201}
0x278a \ding{202}
0x278b \ding{203}
0x278c \ding{204}
0x278d \ding{205}
0x278e \ding{206}
0x278f \ding{207}
0x2790 \ding{208}
0x2791 \ding{209}
0x2792 \ding{210}
0x2793 \ding{211}
0x2794 \ding{212}
0x2798 \ding{216}
0x2799 \ding{217}
0x279a \ding{218}
0x279b \ding{219}
0x279c \ding{220}
0x279d \ding{221}
0x279e \ding{222}
0x279f \ding{223}
0x27a0 \ding{224}
0x27a1 \ding{225}
0x27a2 \ding{226}
0x27a3 \ding{227}
0x27a4 \ding{228}
0x27a5 \ding{229}
0x27a6 \ding{230}
0x27a7 \ding{231}
0x27a8 \ding{232}
0x27a9 \ding{233}
0x27aa \ding{234}
0x27ab \ding{235}
0x27ac \ding{236}
0x27ad \ding{237}
0x27ae \ding{238}
0x27af \ding{239}
0x27b1 \ding{241}
0x27b2 \ding{242}
0x27b3 \ding{243}
0x27b4 \ding{244}
0x27b5 \ding{245}
0x27b6 \ding{246}
0x27b7 \ding{247}
0x27b8 \ding{248}
0x27b9 \ding{249}
0x27ba \ding{250}
0x27bb \ding{251}
0x27bc \ding{252}
0x27bd \ding{253}
0x27be \ding{254}
0x27e6 \textlbrackdbl
0x27e7 \textrbrackdbl
0x27e8 \ensuremath{\langle}
0x27e9 \ensuremath{\rangle}
0x27f5 \ensuremath{\longleftarrow}
0x27f6 \ensuremath{\longrightarrow}
0x27f7 \ensuremath{\longleftrightarrow}
0x27f8 \ensuremath{\Longleftarrow}
0x27f9 \ensuremath{\Longrightarrow}
0x27fa \ensuremath{\Longleftrightarrow}
0x27fb \ensuremath{\longmapsfrom}
0x27fc \ensuremath{\longmapsto}
0x27fd \ensuremath{\Longmapsfrom}
0x27fe \ensuremath{\Longmapsto}
0x2906 \ensuremath{\Mapsfrom}
0x2907 \ensuremath{\Mapsto}
0x2933 \ensuremath{\leadsto}
0x2940 \ensuremath{\circlearrowleft}
0x2941 \ensuremath{\circlearrowright}
0x297c \ensuremath{\strictfi}
0x297d \ensuremath{\strictif}
0x2985 \ensuremath{\Lparen}
0x2986 \ensuremath{\Rparen}
0x29b1 \ensuremath{\bar{\varnothing}}
0x29b3 \ensuremath{\vec{\varnothing}}
0x29b6 \ensuremath{\obar}
0x29b8 \ensuremath{\obslash}
0x29c0 \ensuremath{\olessthan}
0x29c1 \ensuremath{\ogreaterthan}
0x29c4 \ensuremath{\boxslash}
0x29c5 \ensuremath{\boxbslash}
0x29c6 \ensuremath{\boxast}
0x29c7 \ensuremath{\boxcircle}
0x29c8 \ensuremath{\boxbox}
0x29df \ensuremath{\multimapboth}
0x29e2 \ensuremath{\shuffle}
0x29eb \ensuremath{\blacklozenge}
0x29f5 \ensuremath{\setminus}
0x29f6 \ensuremath{\bar{/}}
0x29f8 \ensuremath{\big{/}}
0x2a00 \ensuremath{\bigodot}
0x2a01 \ensuremath{\bigoplus}
0x2a02 \ensuremath{\bigotimes}
0x2a04 \ensuremath{\biguplus}
0x2a05 \ensuremath{\bigsqcap}
0x2a06 \ensuremath{\bigsqcup}
0x2a09 \ensuremath{\varprod}
0x2a0c \ensuremath{\iiiint}
0x2a0f \ensuremath{\fint}
0x2a16 \ensuremath{\sqint}
0x2a1b \ensuremath{\overline{\int}}
0x2a1c \ensuremath{\underline{\int}}
0x2a1d \ensuremath{\Join}
0x2a1e \ensuremath{\lhd}
0x2a1f \ensuremath{\fatsemi}
0x2a23 \ensuremath{\hat{+}}
0x2a24 \ensuremath{\tilde{+}}
0x2a27 \ensuremath{+_2}
0x2a30 \ensuremath{\dot{\times}}
0x2a31 \ensuremath{\underline{\times}}
0x2a3f \ensuremath{\amalg}
0x2a42 \ensuremath{\bar{\cup}}
0x2a43 \ensuremath{\bar{\cap}}
0x2a51 \ensuremath{\dot{\wedge}}
0x2a52 \ensuremath{\dot{\vee}}
0x2a5e \ensuremath{\doublebarwedge}
0x2a5f \ensuremath{\underline{\wedge}}
0x2a6d \ensuremath{\dot{\cong}}
0x2a6f \ensuremath{\hat{\approx}}
0x2a74 \ensuremath{\Coloneqq}
0x2a7d \ensuremath{\leqslant}
0x2a7e \ensuremath{\geqslant}
0x2a85 \ensuremath{\lessapprox}
0x2a86 \ensuremath{\gtrapprox}
0x2a87 \ensuremath{\lneq}
0x2a88 \ensuremath{\gneq}
0x2a89 \ensuremath{\lnapprox}
0x2a8a \ensuremath{\gnapprox}
0x2a8b \ensuremath{\lesseqqgtr}
0x2a8c \ensuremath{\gtreqqless}
0x2a95 \ensuremath{\eqslantless}
0x2a96 \ensuremath{\eqslantgtr}
0x2aa3 \ensuremath{\underline{\ll}}
0x2aa6 \ensuremath{\leftslice}
0x2aa7 \ensuremath{\rightslice}
0x2aaf \ensuremath{\preceq}
0x2ab0 \ensuremath{\succeq}
0x2ab3 \ensuremath{\preceqq}
0x2ab4 \ensuremath{\succeqq}
0x2ab5 \ensuremath{\precneqq}
0x2ab6 \ensuremath{\succneqq}
0x2ab7 \ensuremath{\precapprox}
0x2ab8 \ensuremath{\succapprox}
0x2ab9 \ensuremath{\precnapprox}
0x2aba \ensuremath{\succnapprox}
0x2ac3 \ensuremath{\dot{\subseteq}}
0x2ac4 \ensuremath{\dot{\supseteq}}
0x2ac5 \ensuremath{\subseteqq}
0x2ac6 \ensuremath{\supseteqq}
0x2acb \ensuremath{\subsetneqq}
0x2acc \ensuremath{\supsetneqq}
0x2aeb \ensuremath{\Perp}
0x2af4 \ensuremath{\interleave}
0x2afc \ensuremath{\biginterleave}
0x2afd \ensuremath{\sslash}
0x2afe \ensuremath{\talloblong}
0x2e18 \textinterrobangdown
0x2e1a \"{-}
0x2e1e \ensuremath{\dot{\sim}}
0xfb00 ff
0xfb01 fi
0xfb02 fl
0xfb03 ffi
0xfb04 ffl
0x1d400 \ensuremath{\mathbf{A}}
0x1d401 \ensuremath{\mathbf{B}}
0x1d402 \ensuremath{\mathbf{C}}
0x1d403 \ensuremath{\mathbf{D}}
0x1d404 \ensuremath{\mathbf{E}}
0x1d405 \ensuremath{\mathbf{F}}
0x1d406 \ensuremath{\mathbf{G}}
